# mass(kg)  x(m)  y(m)  z(m)  vx(m/s)  vy(m/s)  vz(m/s)
1.00e+00 6.13e-01 5.26e-01 6.86e-01 2.33e+00 -5.88e+00 2.09e+00
1.00e+00 5.03e-01 4.97e-01 5.00e-01 -3.02e+00 1.12e+00 5.96e+00
1.00e+00 3.97e-01 4.74e-01 5.85e-01 4.34e+00 4.84e-01 5.01e+00
1.00e+00 5.10e-01 6.38e-01 3.57e-01 -3.13e+00 2.48e+00 -4.36e+00
1.00e+00 5.60e-01 4.89e-01 4.21e-01 4.14e+00 3.88e+00 3.60e+00
1.00e+00 5.21e-01 4.88e-01 4.62e-01 -2.56e+00 -6.86e+00 -3.57e+00
1.00e+00 5.19e-01 5.10e-01 4.67e-01 6.60e+00 -4.08e+00 7.46e-01
1.00e+00 3.88e-01 5.07e-01 6.76e-01 -2.92e+00 5.44e+00 -1.36e+00
1.00e+00 5.22e-01 5.08e-01 4.76e-01 1.07e+00 -3.31e+00 -5.93e+00
1.00e+00 5.14e-01 5.07e-01 5.08e-01 -0.00e+00 -0.00e+00 -0.00e+00
